day,month,year,max_temp,min_temp,mean_temp,day_duration,sun_duration,precip_sum,precip_hours,wind_speed,wind_direction,radiation,eva,weather,sea_ice_extent
28,5,1989,-2.3,-3.5,-2.8,86400,83007.02,0.0,0,4.2,227,26.2,1.9,71,12.807
29,5,1989,-2.3,-4.4,-3.6,86400,56804.04,0.0,0,4.0,146,23.16,1.65,71,12.823
30,5,1989,-1.9,-3.2,-2.6,86400,55597.06,1.2,6,1.8,193,22.98,1.75,73,12.766
31,5,1989,0.6000000000000001,-1.5,0.3,86400,11962.66,0.2,2,2.1,49,16.26,1.49,71,12.794
1,6,1989,0.5,-0.9,0.1,86400,28547.9,0.0,0,2.1,190,19.38,1.7000000000000002,71,12.729
2,6,1989,0.6000000000000001,-0.8,0.2,86400,26147.17,0.5,5,2.8,299,18.8,1.6800000000000002,71,12.687
3,6,1989,0.4,-0.7000000000000001,-0.1,86400,71461.69,0.7000000000000001,4,1.3,249,25.99,2.18,71,12.643
4,6,1989,0.0,-1.8,-1.1,86400,83088.74,0.0,0,2.9,275,29.2,2.31,71,12.638
5,6,1989,0.2,-0.1,0.1,86400,75853.91,0.4,3,2.5,257,26.18,2.19,71,12.641
6,6,1989,0.5,-0.6000000000000001,0.0,86400,21290.57,6.5,19,5.1,249,18.75,1.61,73,12.601
7,6,1989,0.6000000000000001,0.3,0.4,86400,46998.85,0.9,6,1.8,90,21.53,1.92,71,12.561
8,6,1989,0.4,0.2,0.3,86400,25506.66,2.4,16,3.0,255,21.42,1.87,73,12.541
9,6,1989,0.5,0.1,0.4,86400,83037.4,0.0,0,5.8,264,28.28,2.25,71,12.506
10,6,1989,0.2,-0.1,0.1,86400,83025.5,0.0,0,2.4,60,29.78,2.43,3,12.452
11,6,1989,0.4,0.1,0.3,86400,54859.42,2.2,10,2.8,145,23.47,2.01,73,12.422
12,6,1989,1.0,0.4,0.7000000000000001,86400,26302.78,1.9,9,1.9,197,19.93,1.8,73,12.455
13,6,1989,0.9,0.5,0.7000000000000001,86400,70025.95,0.0,0,2.1,27,23.27,2.04,3,12.414
14,6,1989,0.6000000000000001,0.1,0.3,86400,72449.38,0.0,0,1.6,318,25.82,2.24,3,12.341
15,6,1989,0.7000000000000001,0.4,0.6000000000000001,86400,60144.79,0.0,0,1.0,272,23.77,2.12,71,12.336
16,6,1989,0.6000000000000001,0.3,0.4,86400,56940.05,0.8,5,8.7,237,24.14,2.04,73,12.308
17,6,1989,0.8,0.4,0.5,86400,82934.08,0.0,0,3.2,200,29.52,2.48,71,12.235
18,6,1989,0.7000000000000001,0.3,0.5,86400,64574.15,1.8,10,3.0,239,25.59,2.19,73,12.233
19,6,1989,0.6000000000000001,0.3,0.5,86400,82907.22,0.6,4,2.6,291,29.87,2.51,71,12.171
20,6,1989,0.6000000000000001,0.4,0.5,86400,82893.98,0.0,0,1.5,273,30.01,2.5700000000000003,3,12.118
21,6,1989,0.7000000000000001,0.3,0.5,86400,71131.28,0.3,3,2.6,238,25.67,2.19,71,12.066
22,6,1989,0.5,0.0,0.3,86400,9651.32,4.9,17,6.0,231,19.05,1.63,73,11.966
23,6,1989,0.9,0.4,0.6000000000000001,86400,82855.79,0.0,0,1.5,179,29.69,2.53,3,11.957
24,6,1989,1.0,0.8,0.9,86400,81711.24,0.0,0,1.5,123,27.04,2.37,3,11.927
25,6,1989,0.9,0.5,0.7000000000000001,86400,41069.82,0.7000000000000001,4,2.6,223,20.3,1.84,71,11.892
26,6,1989,1.0,0.5,0.8,86400,50994.3,0.0,0,3.3,81,22.47,1.98,3,11.804
27,6,1989,1.1,0.9,1.0,86400,65112.82,0.0,0,1.6,73,24.27,2.19,3,11.749
28,6,1989,1.1,0.7000000000000001,0.9,86400,85548.79,0.0,0,1.8,168,27.59,2.41,3,11.692
29,6,1989,0.9,0.7000000000000001,0.8,86400,83497.35,0.0,0,2.5,79,26.43,2.26,3,11.635
30,6,1989,1.0,0.2,0.7000000000000001,86400,77259.88,0.0,0,3.3,51,25.3,2.21,3,11.616
1,7,1989,0.9,0.5,0.7000000000000001,86400,65790.62,0.0,0,2.5,96,23.18,2.04,71,11.34
2,7,1989,0.8,0.3,0.6000000000000001,86400,0.0,5.2,17,5.4,247,14.01,1.34,73,11.277
3,7,1989,1.2,0.6000000000000001,1.0,86400,30125.25,0.0,0,1.9,336,20.01,1.84,3,11.128
4,7,1989,1.3,1.0,1.2,86400,86017.54,0.0,0,1.1,162,26.92,2.41,3,11.164
5,7,1989,1.0,0.6000000000000001,0.8,86400,57880.39,0.2,2,2.4,208,22.77,2.01,71,11.068
